python analyze_traffic.py --log-file logs/traffic_log_20250609_143649.csvtimestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:31:38.784,flow_739,h2,h8,10.0.1.2,10.0.4.2,iperf,1572864,12600000,12.348,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 12.35ms",2025-06-09 14:31:38.784,2025-06-09 14:32:33.414
2025-06-09 14:31:58.317,flow_742,h8,h2,10.0.4.2,10.0.1.2,iperf,1572864,12600000,12.227,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 12.23ms",2025-06-09 14:31:58.317,2025-06-09 14:32:24.435
2025-06-09 14:32:32.862,flow_747,h7,h6,10.0.4.1,10.0.3.2,mtr,640,0,7.1,11.879914,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(6.8ms,0%loss) | small_pkt(7.2ms,0%loss) | large_pkt(7.2ms,0%loss) | rapid(7.2ms,0%loss) | Jitter: 5.2% | Successful: 4/4",2025-06-09 14:32:32.862,2025-06-09 14:32:44.742
2025-06-09 14:32:32.360,flow_746,h8,h7,10.0.4.2,10.0.4.1,mtr,640,0,341.75,13.088762,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(343.4ms,0%loss) | small_pkt(324.4ms,0%loss) | large_pkt(408.9ms,0%loss) | rapid(290.3ms,0%loss) | Jitter: 34.7% | Successful: 4/4",2025-06-09 14:32:32.360,2025-06-09 14:32:45.449
2025-06-09 14:32:00.822,flow_743,h2,h8,10.0.1.2,10.0.4.2,iperf,561152,4490000,10.679,10,0,SUCCESS,"Transfer: 548 KBytes, Bandwidth: 4.49 Mbits/sec | Latency: 10.68ms",2025-06-09 14:32:00.822,2025-06-09 14:32:44.092
2025-06-09 14:32:49.388,flow_752,h8,h6,10.0.4.2,10.0.3.2,ping,320,0,200.388,5,0,SUCCESS,"Packet Loss: 0%, RTT: 199.799/200.388/202.182/0.900 ms",2025-06-09 14:32:49.388,2025-06-09 14:32:53.596
2025-06-09 14:32:15.840,flow_745,h4,h8,10.0.2.2,10.0.4.2,iperf,917504,7340000,13.763,30,0,SUCCESS,"Transfer: 896 KBytes, Bandwidth: 7.34 Mbits/sec | Latency: 13.76ms",2025-06-09 14:32:15.840,2025-06-09 14:32:56.035
2025-06-09 14:32:46.381,flow_750,h7,h1,10.0.4.1,10.0.1.1,iperf,1174405,9440000,7.069,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 7.07ms",2025-06-09 14:32:46.381,2025-06-09 14:32:59.971
2025-06-09 14:32:53.895,flow_753,h5,h1,10.0.3.1,10.0.1.1,mtr,640,0,16.31,11.92098,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(13.3ms,0%loss) | small_pkt(14.9ms,0%loss) | large_pkt(12.4ms,0%loss) | rapid(24.6ms,0%loss) | Jitter: 74.5% | Successful: 4/4",2025-06-09 14:32:53.895,2025-06-09 14:33:05.816
2025-06-09 14:32:45.879,flow_749,h3,h5,10.0.2.1,10.0.3.1,iperf,1572864,12600000,7.865,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 7.87ms",2025-06-09 14:32:45.879,2025-06-09 14:33:09.486
