timestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:56:22.376,flow_227,h6,h7,10.0.3.2,10.0.4.1,iperf,1174405,8024000,9.563,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 8.02 Mbits/sec | Latency: 9.56ms",2025-06-09 14:56:22.376,2025-06-09 14:56:44.947
2025-06-09 14:56:11.340,flow_225,h6,h4,10.0.3.2,10.0.2.2,mtr,640,0,11.82,39.507432,0.0,SUCCESS,"NetDiag: Good | Tests: basic(10.0ms,0%loss) | small_pkt(10.2ms,0%loss) | large_pkt(10.9ms,0%loss) | rapid(8.2ms,0%loss) | Jitter: 27.4% | Successful: 4/4",2025-06-09 14:56:11.340,2025-06-09 14:56:50.848
2025-06-09 14:56:29.411,flow_229,h2,h7,10.0.1.2,10.0.4.1,mtr,640,0,9.204,25.274494,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(8.1ms,0%loss) | small_pkt(8.0ms,0%loss) | large_pkt(7.1ms,0%loss) | rapid(7.5ms,0%loss) | Jitter: 13.7% | Successful: 4/4",2025-06-09 14:56:29.411,2025-06-09 14:56:54.686
2025-06-09 14:56:35.932,flow_230,h7,h6,10.0.4.1,10.0.3.2,iperf,1174405,8024000,30.522,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 8.02 Mbits/sec | Latency: 30.52ms",2025-06-09 14:56:35.932,2025-06-09 14:57:04.750
2025-06-09 14:56:44.451,flow_231,h7,h8,10.0.4.1,10.0.4.2,mtr,640,0,0.852,22.160587,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(0.9ms,0%loss) | small_pkt(0.1ms,0%loss) | large_pkt(0.1ms,0%loss) | rapid(1.8ms,0%loss) | Jitter: 242.3% | Successful: 4/4",2025-06-09 14:56:44.451,2025-06-09 14:57:06.612
2025-06-09 14:56:55.979,flow_234,h3,h2,10.0.2.1,10.0.1.2,mtr,640,0,166.44,12.360554,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(152.5ms,0%loss) | small_pkt(151.7ms,0%loss) | large_pkt(152.4ms,0%loss) | rapid(98.2ms,0%loss) | Jitter: 39.2% | Successful: 4/4",2025-06-09 14:56:55.979,2025-06-09 14:57:08.340
2025-06-09 14:56:26.897,flow_228,h1,h3,10.0.1.1,10.0.2.1,iperf,756736,5142500,20.665,30,0,SUCCESS,"Transfer: 739 KBytes, Bandwidth: 5.14 Mbits/sec | Latency: 20.66ms",2025-06-09 14:56:26.897,2025-06-09 14:57:07.568
2025-06-09 14:56:48.970,flow_232,h1,h7,10.0.1.1,10.0.4.1,ping,320,0,10.199,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.698/8.499/9.320/0.515 ms",2025-06-09 14:56:48.970,2025-06-09 14:57:11.623
2025-06-09 14:57:09.506,flow_237,h6,h3,10.0.3.2,10.0.2.1,ping,320,0,11.273,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.839/9.394/12.165/1.662 ms",2025-06-09 14:57:09.506,2025-06-09 14:57:13.537
2025-06-09 14:57:09.004,flow_236,h5,h6,10.0.3.1,10.0.3.2,mtr,640,0,9.336,12.020017,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(0.3ms,0%loss) | small_pkt(5.2ms,0%loss) | large_pkt(13.6ms,0%loss) | rapid(12.0ms,0%loss) | Jitter: 171.1% | Successful: 4/4",2025-06-09 14:57:09.004,2025-06-09 14:57:21.024
